auctionId,item(DisplayName),quantity,n_prior_sales_in_lookback,old_value,new_PIT_value,delta,status,lookback_auctions,direction
20183,4th Tooth of Cavadar,1,1,-92.25,-95.0,-2.75,recomputed,20182,back
20183,Patron Pin,1,1,-114.3,-365.0,-250.7,recomputed,20182,back
20222,"1,000 GP Gold Bar",9,5,,-107.55,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Adventurers' Guild Button,1,5,,-2.85,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Alchemist's Ink,24,5,,-106.8,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Alchemist's Parchment,17,5,,-36.55,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Darkwood Plank,3,5,,-3.3,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Dwarven Steel,37,5,,-123.95,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Enchanter's Munition,2,5,,-2.1,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Lenses of Hunting,2,5,,-3.5,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Minotaur Hide,13,5,,-40.3,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Mystic Silk,12,5,,-12.6,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Orb of Dragonkind (Great Wyrm),1,5,,-358.2,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Patron Pin,1,5,,-389.2,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Philosopher's Stone,58,5,,-142.1,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Ring of the 5th Circle,4,5,,-312.0,,FIXED_was_error,202221;20223;20224;20225;20226,back
20222,Chosen Ultra Rare,6,5,,-636.0,,FIXED_was_error,202221;20223;20224;20225;20226,back
202217,Patron Pin,1,5,,-423.0,,FIXED_was_error,202210;202211;202212;202219;20229,back
202247,Patron Pin,1,5,,-530.0,,FIXED_was_error,202242;202243;202244;202245;202246,back
202249,Orb of Dragonkind (Great Wyrm),1,5,,-385.0,,FIXED_was_error,202244;202245;202246;202247;202248,back
20236,Adventurers' Guild Button,2,5,-10.5,-2.0,8.5,recomputed,20231;20232;20233;20234;20235,back
20236,Amulet of Magnifying,1,5,-0.52,-0.8,-0.28,recomputed,20231;20232;20233;20234;20235,back
20236,Amulet of Magnifying,1,5,-0.52,-0.8,-0.28,recomputed,20231;20232;20233;20234;20235,back
20236,Ring of the 4th Circle,2,5,-170.67,-164.0,6.67,recomputed,20231;20232;20233;20234;20235,back
20236,Ring of the 4th Circle,1,5,-85.34,-82.0,3.34,recomputed,20231;20232;20233;20234;20235,back
20236,Chosen Ultra Rare,4,5,-317.07,-384.0,-66.93,recomputed,20231;20232;20233;20234;20235,back
202312,Patron Pin,1,5,-318.25,-434.0,-115.75,recomputed,202310;202311;20237;20238;20239,back
202327,Path to Enlightenment (Fragment 1),1,5,-541.74,-533.6,8.14,recomputed,202322;202323;202324;202325;202326,back
202327,Patron Pin,1,5,-318.25,-501.09,-182.84,recomputed,202322;202323;202324;202325;202326,back
202331,Patron Pin,1,5,-350.99,-488.29,-137.3,recomputed,202325;202326;202328;202329;202330,back
202334,Patron Pin,1,5,-350.99,-449.2,-98.21,recomputed,202328;202329;202330;202332;202333,back
202349,Chosen Ultra Rare,2,8,-185.22,-173.0,12.22,recomputed,202344;202345;202346;202347;202348,back
202350,Path to Enlightenment (Fragment 1),1,5,-541.74,-615.4,-73.66,recomputed,202345;202346;202347;202348;202349,back
202351,Path to Enlightenment (Fragment 1),1,5,-541.74,-615.4,-73.66,recomputed,202345;202346;202347;202348;202349,back
20242,Mark of the 3rd Tenet,1,10,-98.07,-90.8,7.27,recomputed,202410;202411;20244;20248;20249,back
20242,Ring of the 3rd Circle,1,10,-104.36,-108.6,-4.24,recomputed,202410;202411;20244;20248;20249,back
20242,Ring of the 3rd Circle,1,10,-104.36,-108.6,-4.24,recomputed,202410;202411;20244;20248;20249,back
20244,Mark of the 3rd Tenet,1,10,-98.07,-92.83,5.24,recomputed,202410;202411;20247;20248;20249,back
20244,Ring of the 3rd Circle,1,10,-104.36,-116.22,-11.86,recomputed,202410;202411;20247;20248;20249,back
20244,Treasure Chip (each),1,10,-132.86,-2.34,130.52,recomputed,202410;202411;20247;20248;20249,back
20246,Path to Enlightenment (Fragment 2),1,5,-1049.27,-796.0,253.27,recomputed,202412;202414;202416;20242;20243,back
20246,Patron Pin,1,5,-392.49,-532.83,-140.34,recomputed,202412;202414;202416;20242;20243,back
202413,Mark of the 3rd Tenet,1,9,-98.07,-102.44,-4.37,recomputed,202414;202415;202416;202418;20246,back
202413,Mark of the 3rd Tenet,1,9,-98.07,-102.44,-4.37,recomputed,202414;202415;202416;202418;20246,back
202413,Ring of the 3rd Circle,1,8,-104.36,-113.62,-9.26,recomputed,202414;202415;202416;202418;20246,back
202413,Ring of the 3rd Circle,1,8,-104.36,-113.62,-9.26,recomputed,202414;202415;202416;202418;20246,back
202413,Ring of the 3rd Circle,1,8,-104.36,-113.62,-9.26,recomputed,202414;202415;202416;202418;20246,back
202413,Ring of the 3rd Circle,1,8,-104.36,-113.62,-9.26,recomputed,202414;202415;202416;202418;20246,back
202415,Path to Enlightenment (Fragment 2),1,5,-1049.27,-764.0,285.27,recomputed,202412;202414;20242;20243;20244,back
202415,Patron Pin,1,5,-392.49,-513.23,-120.74,recomputed,202412;202414;20242;20243;20244,back
202415,Ring of the 3rd Circle,1,8,-104.36,-99.12,5.24,recomputed,202412;202414;20242;20243;20244,back
202415,Ring of the 3rd Circle,1,8,-104.36,-99.12,5.24,recomputed,202412;202414;20242;20243;20244,back
202415,Ring of the 3rd Circle,1,8,-104.36,-99.12,5.24,recomputed,202412;202414;20242;20243;20244,back
202415,Ring of the 3rd Circle,1,8,-104.36,-99.12,5.24,recomputed,202412;202414;20242;20243;20244,back
20251,"1,000 GP Gold Bar",90,10,-859.54,-838.26,21.28,recomputed,202517;202521;202522;202523;202524,back
20251,Alchemist's Ink,78,10,-233.67,-237.82,-4.15,recomputed,202517;202521;202522;202523;202524,back
20251,Alchemist's Parchment,106,10,-244.89,-257.9,-13.01,recomputed,202517;202521;202522;202523;202524,back
