Item,Category,Starting Bid,Current Bid,Bid Count,High Bid,Average Bid,Median Bid,Low Bid
"""5,000 GP Gold Bar"" (1 of 9)",Trade,0.50,51.00,3,65.00,38.67,50.00,1.00
"""5,000 GP Gold Bar"" (2 of 9)",Trade,0.50,51.00,3,65.00,38.67,50.00,1.00
"""5,000 GP Gold Bar"" (3 of 9)",Trade,0.50,51.00,3,65.00,38.67,50.00,1.00
"""5,000 GP Gold Bar"" (4 of 9)",Trade,0.50,1.50,2,65.00,33.00,33.00,1.00
"""5,000 GP Gold Bar"" (5 of 9)",Trade,0.50,0.50,1,1.00,1.00,1.00,1.00
"""5,000 GP Gold Bar"" (6 of 9)",Trade,0.50,1.50,2,2.00,1.50,1.50,1.00
"""5,000 GP Gold Bar"" (7 of 9)",Trade,0.50,0.50,1,1.00,1.00,1.00,1.00
"""5,000 GP Gold Bar"" (8 of 9)",Trade,0.50,,0,,,,
"""5,000 GP Gold Bar"" (9 of 9)",Trade,0.50,,0,,,,
1st Codex of the Familiar,Premium,0.50,0.50,1,0.50,0.50,0.50,0.50
10x Treasure Chip (1 of 5),Bonus,0.50,0.50,1,5.00,5.00,5.00,5.00
10x Treasure Chip (2 of 5),Bonus,0.50,0.50,1,5.00,5.00,5.00,5.00
10x Treasure Chip (3 of 5),Bonus,0.50,0.50,1,5.00,5.00,5.00,5.00
10x Treasure Chip (4 of 5),Bonus,0.50,0.50,1,5.00,5.00,5.00,5.00
10x Treasure Chip (5 of 5),Bonus,0.50,0.50,1,5.00,5.00,5.00,5.00
Alchemist's Ink 10x (1 of 4),Trade,0.50,0.50,1,55.00,55.00,55.00,55.00
Alchemist's Ink 10x (2 of 4),Trade,0.50,0.50,1,55.00,55.00,55.00,55.00
Alchemist's Ink 10x (3 of 4),Trade,0.50,,0,,,,
Alchemist's Ink 10x (4 of 4),Trade,0.50,,0,,,,
Alchemist's Parchment 10x (1 of 4),Trade,0.50,0.50,1,10.00,10.00,10.00,10.00
Alchemist's Parchment 10x (2 of 4),Trade,0.50,0.50,1,5.00,5.00,5.00,5.00
Alchemist's Parchment 10x (3 of 4),Trade,0.50,,0,,,,
Alchemist's Parchment 10x (4 of 4),Trade,0.50,,0,,,,
Aragonite (1 of 15),Trade,0.50,0.50,1,15.00,15.00,15.00,15.00
