Auction Item,Low Bid,High Bid,
Random Urs (9-10),41,43,
Golden Ticket,Withheld,,
Path Fragment #4,110,110,
Patron Pin & Code,225,225,
Adventurer's Guild Codes & Buttons,0.5,0.5,
Wish Ring,117,117,
PYP,49,52,
1K GP Bars,9,9,
AI 10x,36,36,
AI 1x,3.1,3.1,
AP 10x,15,15,
AP 1x,1,1,
AG,13,16,
DP 10x,9.25,9.25,
DS 10x,16,16,
EB,45,56,
EM 10x,50,50,
MH 10x,32,33,
MH 1x,3,3.5,
MS 10x,9,9.5,
MS 1x,1,1,
OE,51,55,
PS 10x,9,9.5,
PS 1x,1,1,
Alesiev's AUGMENTS,Low,High,
+2 Keen Slayer Bow,250,250,"Did not get bids, I paid for my own token to fund the auction :("
Amulet of Noble Might,195,195,
Necklace of the Sneak,31,31,
Skull of Batterak,215,215,
Ring of the 2nd Circle,21,31,
Mark of the 2nd Tenet,46,46,
Greater Eyepatch of the Aesir,100,100,
Greater Eyepatch of the Aesir,100,100,
Hitchhiking Ghost: Shog,2.5,2.5,
3* and 4* Set #1,4,4,
3* and 4* Set #2,4,4,
3* and 4* Set #3,4,4,
Grunnel's AUGMENTS,Low,High,
5 Potatoes (2 sets),151,180,
Troy's Zombie Swatter,95,95,
Ankh from Golden Obelisk,195,195,
Odin Poster,70,70,
Grunnel's +2 Pointy Stick (Token & Prop),40,40,
Tabors Onyx Dagger,215,215,
