Row Labels,Minimum Bid,Maximum Bid,Average Bid,
+3 Savage Sword,50,100,81.25,
10x AI,12.5,30.5,23.6,
10x AP,8,18.25,11.25,
10x DP,5,10,7.666666666666667,
10x DS,10,18.25,13.5625,
10x EM,20,50,35.714285714285715,
10x MH,13,35,28.2,
10x MS,5,10,7.7,
10x PS,5,10,7.6333333333333329,
1K GP,5,8.5,7,
1x AI,2,2,2,
1x MH,1,4,2.7625000000000002,
1x PS,0.75,0.75,0.75,
All 1x Items,1,1,1,"<-- Someone's initial bid ""just in case things go for cheap""…which I appreciated their attempt"
Aragonite,10,12.5,11.5,
Bead of Greed,40,100,64.400000000000006,
Consumable Pack,10,10,10,
Elven Bismuth,25,65,52.2,
Elven Bismuth - Augment,20,47,37.125,
Expertly Blue Set 1,2,40,17.333333333333332,
Expertly Blue Set 2,2,40,17.333333333333332,
Golden Ticket,250,750,570,
Mark of the 1st,20,110,66.333333333333329,
Mark of the 1st - Augment,50,85,65.25,
Mark of the 2nd  - Augment,20,50,35,
Mark of the 3rd - Augment,50,51,50.5,
Mark of the Tenets - Augment,26,200,125.33333333333333,
Oil of Enchantment,50,100,62.090909090909093,
Oil of Enchantment - Augment,25,71,45,
Path Fragment,50,50,50,
Patron Code,100,150,120.83333333333333,
PYP,20,66,46.428571428571431,
Ralson's Kit,100,180,137.75,
Random UR,10,52,36.888888888888886,
Ring of the 1st,10,58,31.615384615384617,
Ring of the 2nd,29,41,35,
Spinning Timer,10,150,76.25,
Stalker Bead of Focus,32,125,74.833333333333329,
They'll Consume You,10,40,25,
Thor's Kit,100,100,100,
Wish Ring,50,120,92,
Totals,0.75,750,62.098598130841125,
