Item,Number,Amount
Random UR,1,55
Random UR,2,55
Random UR,3,55
Random UR,4,55
Random UR,5,55
Random UR,6,55
Random UR,7,55
Random UR,8,57
Random UR,9,55
Golden Ticket,1,652
Mark of the 1st,1,128
Mark of the 1st,2,122
Mark of the 1st,3,137
Mark of the 1st,4,137
Path to Enlightenment #4,1,26
Patron Pin,1,197
AG Codes,1,0.25
AG Codes,2,0.25
AG Codes,3,0.25
AG Codes,4,1.5
Ring of the 1st Circl,1,52
Ring of the 1st Circl,2,52
Ring of the 1st Circl,3,53
Ring of the 1st Circl,4,52
Ring of the 1st Circl,5,52
Ring of the 1st Circl,6,52
Ring of the 1st Circl,7,62
Ring of the 1st Circl,8,52
Wish Ring,1,117
PYP,1,58
PYP,2,55
PYP,3,57
PYP,4,57
PYP,5,57
PYP,6,57
PYP,7,57
PYP,8,57
PYP,9,60
PYP,10,57
PYP,11,57
PYP,12,55
PYP,13,55
PYP,14,57
PYP,15,55
PYP,16,55
PYP,17,57
PYP,18,57
PYP,19,57
PYP,20,57
PYP,21,57
PYP,22,57
PYP,23,57
PYP,24,57
PYP,25,57
PYP,26,56
PYP,27,56
PYP,28,57
PYP,29,57
PYP,30,57
PYP,31,58
PYP,32,58
PYP,33,58
PYP,34,58
1K GP,1,8
1K GP,2,8
1K GP,3,8
1K GP,4,8
1K GP,5,8
1K GP,6,8
1K GP,7,8
1K GP,8,8
1K GP,9,8
1K GP,10,8
1K GP,11,8
1K GP,12,8
1K GP,13,8
1K GP,14,8
1K GP,15,8
1K GP,16,8
1K GP,17,8
1K GP,18,8
1K GP,19,8
1K GP,20,8
1K GP,21,8
1K GP,22,8
1K GP,23,8
1K GP,24,8
1K GP,25,8
1K GP,26,8
1K GP,27,8
1K GP,28,8
1K GP,29,8
1K GP,30,8
1K GP,31,8
1K GP,32,8
1K GP,33,8
1K GP,34,8
1K GP,35,8
1K GP,36,8
1K GP,37,8
1K GP,38,8
1K GP,39,8
1K GP,40,8
1K GP,41,8
1K GP,42,8
1K GP,43,8
1K GP,44,8
1K GP,45,8
10x AI,1,35
10x AI,2,31
10x AI,3,31
1x AI,1,3.5
1x AI,2,3.5
1x AI,3,3
10x AP,1,16
10x AP,2,16
10x AP,3,16
10x AP,4,16
10x AP,5,16
1x AP,1,2.5
1x AP,2,1.5
1x AP,3,1.5
AG,1,13
AG,2,12
AG,3,12
AG,4,12
AG,5,12
AG,6,12
AG,7,12
AG,8,12
AG,9,12
AG,10,12
AG,11,12
AG,12,13
10x DP,1,6.5
10x DP,2,6.5
10x DP,3,6.5
10x DP,4,6.5
10x DP,5,6.5
10x DP,6,6.5
10x DP,7,6.5
10x DP,8,6.5
10x DP,9,6.5
10x DP,10,6.5
10x DP,11,6.5
10x DP,12,6.5
10x DP,13,6
10x DP,14,6
10x DS,1,16
10x DS,2,16
10x DS,3,16
10x DS,4,16
10x DS,5,16
10x DS,6,16
10x DS,7,16
10x DS,8,16
EB,1,52
EB,2,54
EB,3,48
EB,4,48
EB,5,48
EB,6,48
EB,7,55
EB,8,55
EB,9,55
EB,10,55
10x EM,1,48
10x EM,2,51
10x MH,1,30
10x MH,2,30
10x MH,3,30
10x MH,4,30
1x MH,1,3
1x MH,2,3
1x MH,3,3
1x MH,4,3
1x MH,5,3
1x MH,6,3
1x MH,7,3
1x MH,8,3
10x MS,1,8
10x MS,2,8
10x MS,3,8
10x MS,4,7.5
10x MS,5,7.5
10x MS,6,7.5
10x MS,7,7.5
10x MS,8,7.5
10x MS,9,7.5
10x MS,10,7.5
1x MS,1,1.5
1x MS,2,1
1x MS,3,1
1x MS,4,1
1x MS,5,1
OE,1,63
OE,2,65
OE,3,65
OE,4,65
OE,5,62
OE,6,62
OE,7,60
OE,8,60
OE,9,60
OE,10,60
10x PS,1,11
10x PS,2,10
10x PS,3,10
10x PS,4,10
10x PS,5,10
10x PS,6,10
10x PS,7,10
10x PS,8,10
10x PS,9,10
10x PS,10,10
1x PS,1,1.5
1x PS,2,1.5
1x PS,3,1
1x PS,4,1
1x PS,5,1
Grunnel Augment,1,161
Grunnel Augment,2,137
Grunnel Augment,3,103
Grunnel Augment,4,72
Grunnel Augment,5,455
Grunnel Augment,6,112
Player Augment,1,47
Player Augment,2,51
