Token,Price
Path to Enlightenment (Fragment 3),1405
Underling Dwarf Fighter,100
2025 Patron Pin and Code,41
Ring of the 2nd Circle #1,80
Ring of the 2nd Circle #2,80
Ring of the 2nd Circle #3,79.989999999999995
Ring of the 2nd Circle #4,75.069999999999993
Ring of the 2nd Circle #5,81
Ring of the 2nd Circle #6,80.010000000000005
Ring of the 2nd Circle #7,75.069999999999993
Ring of the 2nd Circle #8,80
Wish Ring,130
Mark of the 2nd Tenet #1,76
Mark of the 2nd Tenet #2,76
Mark of the 2nd Tenet #3,80
Mark of the 2nd Tenet #4,71
Adventurers' Guild Button and VTD Code #1,5.25
Adventurers' Guild Button and VTD Code #2,5
Adventurers' Guild Button and VTD Code #3,5.26
Adventurers' Guild Button and VTD Code #4,5.26
Ultra Rare PYP #1,71
Ultra Rare PYP #2,66.25
Ultra Rare PYP #3,67
Ultra Rare PYP #4,70
Ultra Rare PYP #5,70.040000000000006
Ultra Rare PYP #6,70
Ultra Rare PYP #7,70.069999999999993
Ultra Rare PYP #8,78
Ultra Rare PYP #9,70
Ultra Rare PYP #10,70.27
Ultra Rare PYP #11,71.25
Ultra Rare PYP #12,72.25
Ultra Rare PYP #13,75.5
Ultra Rare PYP #14,71
Ultra Rare PYP #15,71
Ultra Rare PYP #16,70
Ultra Rare PYP #17,70.5
Ultra Rare PYP #18,71.25
Ultra Rare PYP #19,70
Ultra Rare PYP #20,71.25
Ultra Rare PYP #21,71
Ultra Rare PYP #22,70.03
Ultra Rare PYP #23,70
Ultra Rare PYP #24,70
Ultra Rare PYP #25,70
Ultra Rare PYP #26,70
Ultra Rare PYP #27,70.069999999999993
Ultra Rare PYP #28,70.08
Ultra Rare PYP #29,70
Ultra Rare PYP #30,70
Ultra Rare PYP #31,70
Ultra Rare PYP #32,71
Ultra Rare PYP #33,71
Ultra Rare PYP #34,71
"1,000 GP Gold Bar x 4 #1 (4 Tokens)",42.01
"1,000 GP Gold Bar x 4 #2 (4 Tokens)",42
"1,000 GP Gold Bar x 4 #3 (4 Tokens)",41
"1,000 GP Gold Bar x 4 #4 (4 Tokens)",42.5
"1,000 GP Gold Bar x 4 #5 (4 Tokens)",41
"1,000 GP Gold Bar x 4 #6 (4 Tokens)",41
"1,000 GP Gold Bar x 4 #7 (4 Tokens)",42
"1,000 GP Gold Bar x 4 #8 (4 Tokens)",42.03
"1,000 GP Gold Bar x 4 #9 (4 Tokens)",42
"1,000 GP Gold Bar x 4 #10 (4 Tokens)",44
"1,000 GP Gold Bar x 4 #11 (4 Tokens)",42
"1,000 GP Gold Bar",11
10x Alchemist's Inks #1,38
10x Alchemist's Inks #2,36.04
10x Alchemist's Inks #3,36.25
Alchemist's Ink (9 Tokens),30
10x Alchemist's Parchments #1,24.8
10x Alchemist's Parchments #2,24.8
10x Alchemist's Parchments #3,26
10x Alchemist's Parchments #4,24.8
10x Alchemist's Parchments #5,25
Alchemist's Parchment (3 Tokens),6.76
Aragonite #1,9.25
Aragonite #2,9.25
Aragonite #3,9.25
Aragonite #4,9.26
Aragonite #6,9.5
Aragonite #5,9.25
Aragonite #7,9.26
Aragonite #8,9.25
Aragonite #9,9.15
Aragonite #10,9.15
Aragonite #11,9.5
Aragonite #12,9.5
10x Darkwood Planks #1,16
10x Darkwood Planks #2,14
10x Darkwood Planks #3,16
10x Darkwood Planks #4,16
10x Darkwood Planks #5,15
10x Darkwood Planks #6,15
10x Darkwood Planks #7,14.29
10x Darkwood Planks #8,15.03
10x Darkwood Planks #9,16
10x Darkwood Planks #10,15.04
10x Darkwood Planks #11,15
Darkwood Plank (3 Tokens),6.25
10x Dwarven Steels #1,30.02
10x Dwarven Steels #2,30
10x Dwarven Steels #3,29.01
10x Dwarven Steels #4,30.02
10x Dwarven Steels #5,31
10x Dwarven Steels #6,31.5
10x Dwarven Steels #7,30.99
10x Dwarven Steels #8,30
Elven Bismuth #1,15.25
Elven Bismuth #2,15
Elven Bismuth #3,15
Elven Bismuth #4,15.5
Elven Bismuth #5,15.5
Elven Bismuth #6,15
Elven Bismuth #7,15.5
Elven Bismuth #8,16
Elven Bismuth #9,16
Elven Bismuth #10,15.5
Elven Bismuth #11,15.5
Elven Bismuth #12,15
10x Enchanter's Munitions #1,56.04
10x Enchanter's Munitions #2,60.01
10x Minotaur Hides #1,40.950000000000003
10x Minotaur Hides #2,39.950000000000003
10x Minotaur Hides #3,40
10x Minotaur Hides #4,40
Minotaur Hide (8 Tokens),33
10x Mystic Silks #1,15
10x Mystic Silks #2,15
10x Mystic Silks #3,15
10x Mystic Silks #4,15.01
10x Mystic Silks #5,15
10x Mystic Silks #6,15
10x Mystic Silks #7,16
10x Mystic Silks #8,15.5
10x Mystic Silks #9,16
10x Mystic Silks #10,15
10x Mystic Silks #11,15
Mystic Silk (5 Tokens),7.5
Oil of Enchantment #1,28
Oil of Enchantment #2,28
Oil of Enchantment #3,28
Oil of Enchantment #4,28
Oil of Enchantment #5,28
Oil of Enchantment #6,28
Oil of Enchantment #7,29
Oil of Enchantment #8,28
Oil of Enchantment #9,29
Oil of Enchantment #10,28
10x Philosopher's Stones #1,26
10x Philosopher's Stones #2,25.01
10x Philosopher's Stones #3,25.01
10x Philosopher's Stones #4,28
10x Philosopher's Stones #5,25
10x Philosopher's Stones #7,25
10x Philosopher's Stones #6,26
10x Philosopher's Stones #8,25
10x Philosopher's Stones #9,26
10x Philosopher's Stones #11,25
10x Philosopher's Stones #10,26
