Auction Start Date,Auction End Date,Product Name,Highest Bid
44904.947916666664,44916.352511574078,Path to Enlightenment (Fragment 1),650
44904.947916666664,44916.352569444447,Wish Ring,195
44904.947916666664,44916.35260416667,2023 Patron Lapel Pin and Patron Code,325
44904.947916666664,44916.352650462963,Adventurers' Guild Button and VTD Code #1
44904.947916666664,44916.353900462964,Adventurers' Guild Button and VTD Code #2
44904.947916666664,44916.35392361111,Adventurers' Guild Button and VTD Code #3
44904.947916666664,44916.353958333333,Adventurers' Guild Button and VTD Code #4
44904.947916666664,44916.353981481479,Common/Uncommon/Rare Set - 2023 (Onyx),105
44904.947916666664,44916.354004629633,+2 Sacred Sling - 2023 (Onyx),70
44904.947916666664,44916.354027777779,+2 Sun Scimitar - 2023 (Onyx),80
44904.947916666664,44916.354039351849,Arcane Charm - 2023 (Onyx),95
44904.947916666664,44916.354074074072,Bead of Bounty - 2023 (Onyx),111
44904.947916666664,44916.354085648149,Bead of Dark Resistance - 2023 (Onyx),96.5
44904.947916666664,44916.354108796295,Boots of Puhweehwa - 2023 (Onyx),55
44904.947916666664,44916.354131944441,Cloak of Retribution - 2023 (Onyx),80
44904.947916666664,44916.354155092595,Druegar's Death Die - 2023 (Onyx),85.69
44904.947916666664,44916.354178240741,Earcuff of Orbits - 2023 (Onyx),95
44904.947916666664,44916.354212962964,Figurine of Power: Phoenix - 2023 (Onyx),75
44904.947916666664,44916.35423611111,Gauntlets of Divine Guidance - 2023 (Onyx),71
44904.947916666664,44916.354259259257,Greaves of Absorption - 2023 (Onyx),100
44904.947916666664,44916.35428240741,Grunnel's Funnel - 2023 (Onyx),85
44904.947916666664,44916.354317129626,Ioun Stone Kyanite Cube - 2023 (Onyx),97
44904.947916666664,44916.35434027778,Lenses of Flawsight - 2023 (Onyx),75
44904.947916666664,44916.354363425926,Necklace of the Zephyr - 2023 (Onyx),72
44904.947916666664,44916.354386574072,Ring of the Savant - 2023 (Onyx),60
44904.947916666664,44916.354409722226,Robe of Healing - 2023 (Onyx),65
44904.947916666664,44916.354432870372,Shirt of the Shrewd - 2023 (Onyx),96.02
44904.947916666664,44916.354456018518,Tome of Useful Scrolls - 2023 (Onyx),80
44904.947916666664,44916.354479166665,Gold Ultra Rare PYP #1,96
44904.947916666664,44916.354502314818,Gold Ultra Rare PYP #2,95.01
44904.947916666664,44916.354537037034,Gold Ultra Rare PYP #3,95.01
44904.947916666664,44916.355925925927,Gold Ultra Rare PYP #4,96
44904.947916666664,44916.354560185187,Gold Ultra Rare PYP #5,96
44904.947916666664,44916.355150462965,Gold Ultra Rare PYP #6,96
44904.947916666664,44916.355173611111,Gold Ultra Rare PYP #7,96
44904.947916666664,44916.355196759258,Gold Ultra Rare PYP #8,96
44904.947916666664,44916.355219907404,Gold Ultra Rare PYP #9,96
44904.947916666664,44916.355243055557,Gold Ultra Rare PYP #10,95
44904.947916666664,44916.355266203704,Gold Ultra Rare PYP #11,95
44904.947916666664,44916.35527777778,Gold Ultra Rare PYP #12,100.01
44904.947916666664,44916.355300925927,Gold Ultra Rare PYP #13,100.02
44904.947916666664,44916.355324074073,Gold Ultra Rare PYP #14,96
44904.947916666664,44916.355347222219,Gold Ultra Rare PYP #15,96
44904.947916666664,44916.355358796296,Gold Ultra Rare PYP #16,96
44904.947916666664,44916.355381944442,Ring of the 4th Circle #1,95
44904.947916666664,44916.355937499997,Ring of the 4th Circle #2,90
44904.947916666664,44916.355405092596,Ring of the 4th Circle #3,92
44904.947916666664,44916.355439814812,Ring of the 4th Circle #4,91
44904.947916666664,44916.355462962965,Ring of the 4th Circle #5,90.5
44904.947916666664,44916.355486111112,Ring of the 4th Circle #6,90.5
44904.947916666664,44916.35596064815,Ring of the 4th Circle #7,85
44904.947916666664,44916.355983796297,Ring of the 4th Circle #8,85
