auctionId,auctionSeason,auctionNumber,auctionName,auctionStyle,completionStyle,auctioneer,Link,openDate,closeDate,daysToClose,Status,Open Month,Close Month,targetFunding,augmentated,augmentTokens,augmentGrunnel,augmentWithheld,augmentedTotal,fundingNoAugment,preorderTotal
20181,2018,1,2018 8K Super Lightning Auction!,Super Condensed,Fixed Date,Wade S,https://truedungeon.com/forum?view=topic&catid=584&id=248428,2018-09-27,2018-09-30,3,Closed,12,12,"$8,000.00",No,,,,$0.00,"$8,000.00",$0.00
20182,2018,2,2018 8k Order Auction,Onyx Condensed,Fixed Date,Matthew Hayward,https://truedungeon.com/forum?view=topic&catid=584&id=246166,2017-10-29,2017-11-05,7,Closed,1,2,"$8,000.00",No,,,,$0.00,"$8,000.00",$64.00
20183,2018,3,2018 8k Order Auction,Onyx Condensed,Fixed Date,edwin,https://truedungeon.com/forum?view=topic&catid=584&id=246219,2017-11-06,2017-11-18,12,Closed,2,2,"$7,400.00",No,,,-$206.55,-$206.55,"$7,606.55",$72.00
20184,2018,4,2018 8k Onyx token auction,Onyx Condensed,Fixed Date,Starkhound (Edwin),https://truedungeon.com/forum?view=topic&catid=584&id=246641,2018-01-27,2018-02-05,9,Closed,4,5,"$7,850.00",No,,,,$0.00,"$7,850.00",$0.00
20185,2018,5,8K Auction,Super Condensed,Fixed Date,Wade S,https://truedungeon.com/forum?view=topic&catid=584&id=248189,2018-08-26,2018-09-06,11,Closed,11,12,"$8,000.00",No,,,,$0.00,"$8,000.00",$0.00
20186,2018,6,ONE MORE 2018 8k Order,Super Condensed,Fixed Date,jpotter,https://truedungeon.com/forum?view=topic&catid=584&id=248423,2018-09-25,2018-09-29,4,Closed,12,12,"$7,500.00",No,,,,$0.00,"$7,500.00",$0.00
20191,2019,1,Nick Braun,Super Condensed,Fixed Date,Nick Braun,https://truedungeon.com/forum?view=topic&catid=584&id=248693,2018-12-15,2019-01-08,24,Closed,3,4,"$7,500.00",No,,,,$0.00,"$7,500.00",$0.00
20192,2019,2,2019 $8k Auction,Condensed,Fixed Date,Azzy,https://truedungeon.com/forum?view=topic&catid=584&id=248945,2019-03-01,2019-03-15,14,Closed,6,6,"$7,500.00",No,,,,$0.00,"$7,500.00",$0.00
20193,2019,3,Post GenCon Token Auction,Super Condensed,Fixed Date,Wade S,https://truedungeon.com/forum?view=topic&catid=584&id=250310,2019-08-10,2019-08-23,13,Closed,11,11,"$7,500.00",No,,,,$0.00,"$7,500.00",$0.00
20194,2019,4,Super Condensed 8K Auction - Get Your Tokens Before GenCon 2019,Super Condensed,Fixed Date,Edwin,https://truedungeon.com/forum?view=topic&catid=584&id=249548,2019-05-27,2019-05-28,1,Closed,8,8,"$7,500.00",No,,,,$0.00,"$7,500.00",$0.00
