auctionId,auctionSeason,auctionNumber,category,Item,quantity,priceAugmented
20183,2018,3,withheld,Patron Pin,1,-$114.30
20183,2018,3,withheld,4th Tooth of Cavadar,1,-$92.25
202018,2020,18,token,Bead of the Lucky Traveler,1,$145.00
202018,2020,18,token,Kilt of Dungeonbane,1,$450.00
202018,2020,18,token,Ioun Stone Gold Nugget,1,$104.00
202018,2020,18,token,Kilt of Tavernbane,1,$110.00
202018,2020,18,token,4th Tooth of Cavadar,1,$70.00
202018,2020,18,token,5th Tooth of Cavadar,1,$55.00
202018,2020,18,token,Set of all 6 2019 Relic Fragments,1,$75.00
202018,2020,18,token,Set of 2018 Monster Trophies,1,$26.00
202018,2020,18,token,Set of 2017 Monster Trophies,1,$30.00
202018,2020,18,token,Set of 2016 Monster Trophies,1,$27.00
202018,2020,18,token,Soul Coffer,1,$70.00
202018,2020,18,token,Shirt of the Fae,1,$35.00
202018,2020,18,token,Ioun Stone Fluorite Cube,1,$55.00
202018,2020,18,token,+2 Hammer of Smiting,1,$65.00
202018,2020,18,token,Dark Disciple's Shirt,1,$80.00
202018,2020,18,token,Ring of Regeneration (2007 version),1,$200.00
202019,2020,19,token,Earcuff of the Phalanx,1,$75.00
202019,2020,19,token,Ioun Stone Fluorite Cube,1,$40.00
202019,2020,19,token,Crown of Elemental Mastery (Onyx),1,$50.00
202019,2020,19,token,Figurine of Power: Pixie,1,$30.00
202019,2020,19,token,4th Tooth of Cavadar,1,$76.00
202019,2020,19,token,Kilt of Tavernbane,1,$110.00
202019,2020,19,token,Kilt of Fatherbane,1,$100.00
202019,2020,19,token,Charm of Synergy,1,$86.00
202019,2020,19,token,Bead of the Lucky Traveler,1,$145.00
202019,2020,19,token,Shirt of Blessed Strength,1,$36.00
202019,2020,19,token,Redoubt Mail,1,$40.00
202020,2020,20,token,Lute of Free Fury,1,$180.00
202020,2020,20,token,Earcuff of the Phalanx,1,$180.00
202020,2020,20,token,Charm of Quick Strike,1,$65.00
202020,2020,20,token,Kilt of Dungeonbane,1,$405.00
202021,2020,21,token,Shirt of Focus,1,$93.00
202021,2020,21,token,Boots of the South Wind,1,$93.00
20214,2021,4,token,Random Ultra Rare,9,$697.50
20214,2021,4,token,Chance at Golden Ticket,1,$205.00
20215,2021,5,token,Cook's Hat,1,$105.00
20215,2021,5,token,+2 Flaming Blade,1,$105.00
20215,2021,5,token,+2 Holy Avenger,1,$85.00
20215,2021,5,token,Semi-Lich Skull,1,$105.00
20215,2021,5,token,Ring of Wonder,1,$105.00
20215,2021,5,token,Greater Quicksilver Charm,1,$50.00
20215,2021,5,token,Charm of Heroism,1,$205.00
20215,2021,5,token,Ring of Heroism,1,$160.00
20215,2021,5,token,Belt of Ogre Mage Power,1,$9.00
20215,2021,5,token,Ring of Fervor,1,$5.00
20215,2021,5,token,Bracers of Reckless Fury,1,$110.00
20215,2021,5,token,Ioun Stone Infernal Fire Prism,1,$105.00
