auctionId,auctionSeason,auctionNumber,auctionName,auctionStyle,completionStyle,auctioneer,Link,openDate,closeDate,daysToClose,Status,Open Month,Close Month,targetFunding,augmentated,augmentTokens,augmentGrunnel,augmentWithheld,augmentedTotal,fundingNoAugment,preorderTotal,,,,,,,
20191,2019,1,Nick Braun,n/a,n/a,Nick Braun,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20192,2019,2,Azzy,n/a,n/a,Azzy,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20193,2019,3,Wade,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20194,2019,4,edwin,n/a,n/a,edwin,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20195,2019,5,Tialong,n/a,n/a,Tialong,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20196,2019,6,Wade 2,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20201,2020,1,Hayward 1,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$12.80,,,,,,,
20202,2020,2,Hayward 2,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$12.80,,,,,,,
20203,2020,3,Hayward 3,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$11.20,,,,,,,
20204,2020,4,Hayward 4,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$32.00,,,,,,,
20205,2020,5,Hayward 5,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$16.00,,,,,,,
20206,2020,6,Hayward 6,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20207,2020,7,Hayward 7,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20208,2020,8,Hayward 8,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20209,2020,9,Hayward 9,n/a,n/a,Matthew Hayward,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202010,2020,10,Price 10 - Azzy,n/a,n/a,Azzy,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202011,2020,11,Price 11 - edwin,n/a,n/a,edwin,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202012,2020,12,Price 12 - Dergidan,n/a,n/a,Dergidan,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202013,2020,13,Price 13 - ralykam,n/a,n/a,ralykam,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202014,2020,14,Price 14 - Azzy,n/a,n/a,Azzy,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202015,2020,15,Price 15 - Wade,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20211,2021,1,Price 1 - Wade Lightning,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$32.00,,,,,,,
20212,2021,2,Price 3 - Azzy,n/a,n/a,Azzy,,n/a,n/a,n/a,Closed,,,,,,,,,,$24.00,,,,,,,
20213,2021,3,Price 4 - ralykam,n/a,n/a,Ralykam,,n/a,n/a,n/a,Closed,,,,,,,,,,$16.00,,,,,,,
20214,2021,4,Price 5 - Tyler,n/a,n/a,Tyler,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20215,2021,5,Price 6 - jpotter,n/a,n/a,jpotter,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20216,2021,6,Price 2 - Fixed,n/a,n/a,,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20217,2021,7,Miathin March 14,n/a,n/a,Miathin,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20218,2021,8,Wade Apr 1,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20219,2021,9,Wade Apr 25,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202110,2021,10,David H apr 12,n/a,n/a,David H,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202111,2021,11,Casey Apr 16,n/a,n/a,Casey Wren,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202112,2021,12,Matt May 27,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202113,2021,13,Scott May 20,n/a,n/a,Scott,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202114,2021,14,Wade Aug 20,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202115,2021,15,Matt Sep 6,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202116,2021,16,Wade Oct 1,n/a,n/a,Wade,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202117,2021,17,Matt Oct 10,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202118,2021,18,Matt Oct 11,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202119,2021,19,Matt Oct 16,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
202120,2021,20,Matt Oct 21,n/a,n/a,Matt Soto,,n/a,n/a,n/a,Closed,,,,,,,,,,$0.00,,,,,,,
20221,2022,1,Fred and Friends,Super Condensed,Lightning,Fred K,,2021-10-26,2021-11-06,11,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
20222,2022,2,kurtreznor,Onyx Super Condensed,Lightning,kurtreznor,,2021-10-26,2021-11-11,16,Closed,#REF!,,,,,,,,,$72.00,,,,,,,
20223,2022,3,UTC #1,Super Condensed,Lightning,Matt Soto,,2021-11-06,2021-11-07,1,Closed,#REF!,,,,,,,,,$40.00,,,,,,,
20224,2022,4,UTC #2,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-07,2021-11-08,1,Closed,#REF!,,,,,,,,,$48.00,,,,,,,
20225,2022,5,UTC #3,Onyx Condensed,Lightning,Matt Soto,,2021-11-08,2021-11-10,2,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
20226,2022,6,Casey Wren,Super Condensed,Regular,Casey Wren,,2021-11-06,2021-11-10,4,Closed,#REF!,,,,,,,,,$64.00,,,,,,,
20227,2022,7,UTC 4,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-11,2021-11-12,1,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
20228,2022,8,UTC 5,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-12,2021-11-13,1,Closed,#REF!,,,,,,,,,$64.00,,,,,,,
20229,2022,9,UTC 6,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-14,2021-11-16,2,Closed,#REF!,,,,,,,,,$40.00,,,,,,,
202210,2022,10,UTC 7,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-16,2021-11-17,1,Closed,#REF!,,,,,,,,,$48.00,,,,,,,
202211,2022,11,(Token of Time),Super Condensed,Lightning,Lord Brian,,2021-11-11,2021-11-17,6,Closed,#REF!,,,,,,,,,$48.00,,,,,,,
202212,2022,12,UTC 8,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-17,2021-11-20,3,Closed,#REF!,,,,,,,,,$40.00,,,,,,,
202213,2022,13,Edwin 1,Onyx Super Condensed,Lightning,Edwin,,2021-11-21,2021-11-24,3,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
202214,2022,14,Edwin 2,Onyx Super Condensed,Lightning,Edwin,,2021-11-24,2021-11-27,3,Closed,#REF!,,,,,,,,,$64.00,,,,,,,
202215,2022,15,UTC 9,Onyx Super Condensed,Lightning,Matt Soto,,2021-11-22,2021-11-28,6,Closed,#REF!,,,,,,,,,$40.00,,,,,,,
202216,2022,16,Josh M,Super Condensed,Lightning,Josh M,,2021-11-06,2021-11-16,10,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
202217,2022,17,WM13,Super Condensed,Lightning,WM13,,2021-11-17,2021-11-21,4,Closed,#REF!,,,,,,,,,$40.00,,,,,,,
202218,2022,18,Edwin 3,Super Condensed,Lightning,Edwin,,2021-11-27,2021-11-30,3,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202219,2022,19,ralykam,Onyx Super Condensed,Lightning,ralykam,,2021-11-08,2021-11-16,8,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
202220,2022,20,Edwin 4,Super Condensed,Lightning,Edwin,,2021-11-30,2021-12-04,4,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202221,2022,21,Wade,Onyx Super Condensed,Lightning,Wade S,,2021-11-06,2021-11-08,2,Closed,#REF!,,,,,,,,,$32.00,,,,,,,
202222,2022,22,UTC 10,Onyx Super Condensed,Lightning,Matt Soto,,2021-12-01,2021-12-15,14,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202223,2022,23,Edwin 5,Super Condensed,Lightning,Edwin,,2021-12-04,2021-12-13,9,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202224,2022,24,UTC 11,Onyx Super Condensed,Lightning,Matt Soto,,2021-12-15,2022-01-01,17,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202225,2022,25,Casey Benefit,Super Condensed,Lightning,Casey Wren,,2021-12-01,2021-12-27,26,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202226,2022,26,UTC 12,Super Condensed,Lightning,Matt Soto,,2022-01-02,2022-01-13,11,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202227,2022,27,laz auction,Super Condensed,Regular,Laz,,2021-12-04,2021-12-28,24,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202228,2022,28,One more (before preorder end),Super Condensed,Lightning,WM13,,2022-01-07,2022-01-15,8,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202229,2022,29,UTC #13,Super Condensed,Lightning,Matt Soto,,2022-01-14,2022-01-16,2,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202230,2022,30,12 Days Xmas Auction,Super Condensed,Lightning,edwin,,2021-12-13,2022-01-07,25,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202231,2022,31,AND THE KITCHEN SINK,Super Condensed,Semi-Lightning,jpotter,,2022-01-22,2022-01-24,2,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202232,2022,32,Another Augmented Auction,Super Condensed,Semi-Lightning,ralykam,,2022-02-04,2022-02-15,11,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202233,2022,33,Augmented 8K Auction,Super Condensed,Semi-Lightning,Wade S,,2022-01-28,2022-02-05,8,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202234,2022,34,UTC #14,Super Condensed,Lightning,Matt Soto,,2022-02-16,2022-02-27,11,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202235,2022,35,Beertram's 8K,Super Condensed,Semi-Lightning,Beertram,,2022-02-15,2022-02-26,11,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202236,2022,36,Flik's Augmented Auction,Super Condensed,Semi-Lightning,Flik,,2022-02-11,2022-03-17,34,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202237,2022,37,UTC March 1 2022,Super Condensed,Lightning,Matt Soto,,2022-03-01,2022-03-20,19,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202238,2022,38,UTC Mike Steele,Onyx Super Condensed,Lightning,Matt Soto,,2022-03-16,2022-04-02,17,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
202239,2022,39,Beertram March 19,Super Condensed,Lightning,Beertram,,2022-03-19,2022-04-09,21,Closed,#REF!,,,,,,,,,$0.00,,,,,,,
