Key,Year,Category,Item,Display Name,max Price,avg Price,min Price
2019Fleece,2019,Transmute,Fleece,Golden Fleece,70,60,50
2020Fleece,2020,Transmute,Fleece,Golden Fleece,60,50,40
2021Fleece,2021,Transmute,Fleece,Golden Fleece,50,40,30
2022Fleece,2022,Transmute,Fleece,Golden Fleece,50,40,30
2023Fleece,2023,Transmute,Fleece,Golden Fleece,40,35,30
2024Fleece,2024,Transmute,Fleece,Golden Fleece,50,45,40
2025Fleece,2025,Transmute,Fleece,Golden Fleece,70,60,50
2026Fleece,2026,Transmute,Fleece,Golden Fleece,90,85,75
2023Stalker Token,2023,Treasure Chest,Stalker Token,Stalker Token,5,4,3
2026Herald Token,2026,Treasure Chest,Herald Token,Herald Token,20,15,10
