auctionId,auctionSeason,auctionNumber,Item, Price ,Display Name,Category
20191,2019,1,1k Bonus,75,5th Tooth of Cavadar,Premium
20191,2019,1,2k Bonus,2.25,Mask of Mayhem,Premium
20191,2019,1,3 Star,3.25,Canteen of Quaffing,Bonus
20191,2019,1,8k Bonus,605,Orb of Dragonkind (Old),Premium
20191,2019,1,Alchemist's Ink,2.75,Alchemist's Ink,Trade 1
20191,2019,1,Alchemist's Parchment,4,Alchemist's Parchment,Trade 1
20191,2019,1,"1,000 GP Gold Bar",14,"1,000 GP Gold Bar",Trade 2
20191,2019,1,Darkwood Plank,1,Darkwood Plank,Trade 1
20191,2019,1,Dwarven Steel,2.75,Dwarven Steel,Trade 1
20191,2019,1,Enchanter's Munition,2.25,Enchanter's Munition,Trade 1
20191,2019,1,Guild Button,2,Adventurers' Guild Button,Bonus
20191,2019,1,Minotaur Hide,2,Minotaur Hide,Trade 1
20191,2019,1,Mystic Silk,1.5,Mystic Silk,Trade 1
20191,2019,1,Patron Pin,100,Patron Pin,Premium
20191,2019,1,PCH,4,Potion Condensed Healing,Bonus
20191,2019,1,Philosopher's Stone,2,Philosopher's Stone,Trade 1
20191,2019,1,PYP,100,Ultra Rare,Ultra Rare
20191,2019,1,Wish,205,Wish Ring,Premium
20192,2019,2,1k Bonus,45,5th Tooth of Cavadar,Premium
20192,2019,2,2k Bonus,3.75,Mask of Mayhem,Premium
20192,2019,2,3 Star,3.25,Canteen of Quaffing,Bonus
20192,2019,2,8k Bonus,575,Orb of Dragonkind (Old),Premium
20192,2019,2,Alchemist's Ink,3.25,Alchemist's Ink,Trade 1
20192,2019,2,Alchemist's Parchment,8,Alchemist's Parchment,Trade 1
20192,2019,2,"1,000 GP Gold Bar",16,"1,000 GP Gold Bar",Trade 2
20192,2019,2,Darkwood Plank,1.5,Darkwood Plank,Trade 1
20192,2019,2,Dwarven Steel,3.25,Dwarven Steel,Trade 1
20192,2019,2,Enchanter's Munition,2.25,Enchanter's Munition,Trade 1
20192,2019,2,Guild Button,7.25,Adventurers' Guild Button,Bonus
20192,2019,2,Minotaur Hide,2,Minotaur Hide,Trade 1
20192,2019,2,Mystic Silk,1.5,Mystic Silk,Trade 1
20192,2019,2,Patron Pin,105,Patron Pin,Premium
20192,2019,2,PCH,3,Potion Condensed Healing,Bonus
20192,2019,2,Philosopher's Stone,1.75,Philosopher's Stone,Trade 1
20192,2019,2,PYP,120,Ultra Rare,Ultra Rare
20192,2019,2,Wish,240,Wish Ring,Premium
20193,2019,3,1k Bonus,45,5th Tooth of Cavadar,Premium
20193,2019,3,2k Bonus,5,Mask of Mayhem,Premium
20193,2019,3,3 Star,3,Canteen of Quaffing,Bonus
20193,2019,3,8k Bonus,555,Orb of Dragonkind (Old),Premium
20193,2019,3,Alchemist's Ink,3.5,Alchemist's Ink,Trade 1
20193,2019,3,Alchemist's Parchment,7,Alchemist's Parchment,Trade 1
20193,2019,3,Aragonite,27,Aragonite,Trade 2
20193,2019,3,"1,000 GP Gold Bar",15,"1,000 GP Gold Bar",Trade 2
20193,2019,3,Darkwood Plank,1,Darkwood Plank,Trade 1
20193,2019,3,Dwarven Steel,3.25,Dwarven Steel,Trade 1
20193,2019,3,Elven Bismuth,15,Elven Bismuth,Trade 2
20193,2019,3,Enchanter's Munition,2.25,Enchanter's Munition,Trade 1
20193,2019,3,Guild Button,8.5,Adventurers' Guild Button,Bonus
20193,2019,3,Minotaur Hide,2,Minotaur Hide,Trade 1
20193,2019,3,Mystic Silk,2,Mystic Silk,Trade 1
20193,2019,3,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20193,2019,3,Patron Pin,77,Patron Pin,Premium
20193,2019,3,PCH,2.5,Potion Condensed Healing,Bonus
20193,2019,3,Philosopher's Stone,2,Philosopher's Stone,Trade 1
20193,2019,3,PYP,105,Ultra Rare,Ultra Rare
20193,2019,3,Wish,235,Wish Ring,Premium
20194,2019,4,1k Bonus,31,5th Tooth of Cavadar,Premium
20194,2019,4,2k Bonus,5.75,Mask of Mayhem,Premium
20194,2019,4,3 Star,3,Canteen of Quaffing,Bonus
20194,2019,4,8k Bonus,425,Orb of Dragonkind (Old),Premium
20194,2019,4,Alchemist's Ink,3.5,Alchemist's Ink,Trade 1
20194,2019,4,Alchemist's Parchment,6.75,Alchemist's Parchment,Trade 1
20194,2019,4,Aragonite,26,Aragonite,Trade 2
20194,2019,4,"1,000 GP Gold Bar",17,"1,000 GP Gold Bar",Trade 2
20194,2019,4,Darkwood Plank,1.75,Darkwood Plank,Trade 1
20194,2019,4,Dwarven Steel,3,Dwarven Steel,Trade 1
20194,2019,4,Elven Bismuth,14,Elven Bismuth,Trade 2
20194,2019,4,Enchanter's Munition,2.25,Enchanter's Munition,Trade 1
20194,2019,4,Guild Button,1.75,Adventurers' Guild Button,Bonus
20194,2019,4,Minotaur Hide,2.25,Minotaur Hide,Trade 1
20194,2019,4,Mystic Silk,2,Mystic Silk,Trade 1
20194,2019,4,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20194,2019,4,PCH,3.25,Potion Condensed Healing,Bonus
20194,2019,4,Philosopher's Stone,1.75,Philosopher's Stone,Trade 1
20194,2019,4,PYP,110,Ultra Rare,Ultra Rare
20194,2019,4,Wish,235,Wish Ring,Premium
20195,2019,5,1k Bonus,32,5th Tooth of Cavadar,Premium
20195,2019,5,2k Bonus,3,Mask of Mayhem,Premium
20195,2019,5,3 Star,3.25,Canteen of Quaffing,Bonus
20195,2019,5,8k Bonus,450,Orb of Dragonkind (Old),Premium
20195,2019,5,Alchemist's Ink,3,Alchemist's Ink,Trade 1
20195,2019,5,Alchemist's Parchment,5.25,Alchemist's Parchment,Trade 1
20195,2019,5,Aragonite,27,Aragonite,Trade 2
20195,2019,5,"1,000 GP Gold Bar",15,"1,000 GP Gold Bar",Trade 2
20195,2019,5,Darkwood Plank,0.75,Darkwood Plank,Trade 1
20195,2019,5,Dwarven Steel,3.5,Dwarven Steel,Trade 1
20195,2019,5,Elven Bismuth,18,Elven Bismuth,Trade 2
20195,2019,5,Enchanter's Munition,1.5,Enchanter's Munition,Trade 1
20195,2019,5,Guild Button,3,Adventurers' Guild Button,Bonus
20195,2019,5,Minotaur Hide,2.25,Minotaur Hide,Trade 1
20195,2019,5,Mystic Silk,1.25,Mystic Silk,Trade 1
20195,2019,5,Oil of Enchantment,19,Oil of Enchantment,Trade 2
20195,2019,5,PCH,2.5,Potion Condensed Healing,Bonus
20195,2019,5,Philosopher's Stone,1.25,Philosopher's Stone,Trade 1
20195,2019,5,PYP,115,Ultra Rare,Ultra Rare
20195,2019,5,Wish,220,Wish Ring,Premium
20196,2019,6,1k Bonus,41,5th Tooth of Cavadar,Premium
20196,2019,6,2k Bonus,0.25,Mask of Mayhem,Premium
20196,2019,6,3 Star,2,Canteen of Quaffing,Bonus
20196,2019,6,8k Bonus,501,Orb of Dragonkind (Old),Premium
20196,2019,6,Alchemist's Ink,3.25,Alchemist's Ink,Trade 1
20196,2019,6,Alchemist's Parchment,5,Alchemist's Parchment,Trade 1
20196,2019,6,Aragonite,30,Aragonite,Trade 2
20196,2019,6,"1,000 GP Gold Bar",16,"1,000 GP Gold Bar",Trade 2
20196,2019,6,Darkwood Plank,1,Darkwood Plank,Trade 1
20196,2019,6,Dwarven Steel,3.25,Dwarven Steel,Trade 1
20196,2019,6,Elven Bismuth,17,Elven Bismuth,Trade 2
20196,2019,6,Enchanter's Munition,2.25,Enchanter's Munition,Trade 1
20196,2019,6,Guild Button,0.25,Adventurers' Guild Button,Bonus
20196,2019,6,Minotaur Hide,2.25,Minotaur Hide,Trade 1
20196,2019,6,Mystic Silk,1.5,Mystic Silk,Trade 1
20196,2019,6,Oil of Enchantment,18,Oil of Enchantment,Trade 2
20196,2019,6,Patron Pin,2.25,Patron Pin,Premium
20196,2019,6,PCH,2.25,Potion Condensed Healing,Bonus
20196,2019,6,Philosopher's Stone,1,Philosopher's Stone,Trade 1
20196,2019,6,PYP,120,Ultra Rare,Ultra Rare
20196,2019,6,Wish,225,Wish Ring,Premium
20201,2020,1,1k Bonus,60,6th Tooth of Cavadar,Premium
20201,2020,1,2k Bonus,40,Hitchhiking Ghost: Shog,Premium
20201,2020,1,3 Star,0.5,Lenses of the Owl,Bonus
20201,2020,1,Treasure Chip,3.33,Treasure Chip (each),Preorder
20201,2020,1,8k Bonus,600,Orb of Dragonkind (Old),Premium
20201,2020,1,Alchemist's Ink,3,Alchemist's Ink,Trade 1
20201,2020,1,Alchemist's Parchment,3.25,Alchemist's Parchment,Trade 1
20201,2020,1,Aragonite,25.78,Aragonite,Trade 2
20201,2020,1,"1,000 GP Gold Bar",16,"1,000 GP Gold Bar",Trade 2
20201,2020,1,Darkwood Plank,1,Darkwood Plank,Trade 1
20201,2020,1,Dwarven Steel,3,Dwarven Steel,Trade 1
20201,2020,1,Elven Bismuth,14,Elven Bismuth,Trade 2
20201,2020,1,Enchanter's Munition,3,Enchanter's Munition,Trade 1
20201,2020,1,Guild Button,5,Adventurers' Guild Button,Bonus
20201,2020,1,Minotaur Hide,1.75,Minotaur Hide,Trade 1
20201,2020,1,Mystic Silk,1,Mystic Silk,Trade 1
20201,2020,1,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20201,2020,1,Patron Pin,70,Patron Pin,Premium
20201,2020,1,PCH,1,Potion Condensed Healing,Bonus
20201,2020,1,Philosopher's Stone,1,Philosopher's Stone,Trade 1
20201,2020,1,Preorder Bonus,0.4,Averon's +3 Cherry Wine,Preorder
20201,2020,1,PYP,100,Ultra Rare,Ultra Rare
20201,2020,1,Wish,240,Wish Ring,Premium
20202,2020,2,1k Bonus,45,6th Tooth of Cavadar,Premium
20202,2020,2,2k Bonus,30,Hitchhiking Ghost: Shog,Premium
20202,2020,2,3 Star,1.5,Lenses of the Owl,Bonus
20202,2020,2,Treasure Chip,3.33,Treasure Chip (each),Preorder
20202,2020,2,8k Bonus,600,Orb of Dragonkind (Old),Premium
20202,2020,2,Alchemist's Ink,2.81,Alchemist's Ink,Trade 1
20202,2020,2,Alchemist's Parchment,3.51,Alchemist's Parchment,Trade 1
20202,2020,2,Aragonite,25,Aragonite,Trade 2
20202,2020,2,"1,000 GP Gold Bar",16,"1,000 GP Gold Bar",Trade 2
20202,2020,2,Darkwood Plank,1.25,Darkwood Plank,Trade 1
20202,2020,2,Dwarven Steel,3.01,Dwarven Steel,Trade 1
20202,2020,2,Elven Bismuth,12.5,Elven Bismuth,Trade 2
20202,2020,2,Enchanter's Munition,3,Enchanter's Munition,Trade 1
20202,2020,2,Guild Button,5,Adventurers' Guild Button,Bonus
20202,2020,2,Minotaur Hide,1.75,Minotaur Hide,Trade 1
20202,2020,2,Mystic Silk,1.25,Mystic Silk,Trade 1
20202,2020,2,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20202,2020,2,Patron Pin,66,Patron Pin,Premium
20202,2020,2,PCH,1.25,Potion Condensed Healing,Bonus
20202,2020,2,Philosopher's Stone,1.25,Philosopher's Stone,Trade 1
20202,2020,2,Preorder Bonus,0.4,Averon's +3 Cherry Wine,Preorder
20202,2020,2,PYP,100,Ultra Rare,Ultra Rare
20202,2020,2,Wish,240,Wish Ring,Premium
20203,2020,3,1k Bonus,45,6th Tooth of Cavadar,Premium
20203,2020,3,2k Bonus,24,Hitchhiking Ghost: Shog,Premium
20203,2020,3,3 Star,0.5,Lenses of the Owl,Bonus
20203,2020,3,Treasure Chip,3.5,Treasure Chip (each),Preorder
20203,2020,3,8k Bonus,480,Orb of Dragonkind (Old),Premium
20203,2020,3,Alchemist's Ink,3.33,Alchemist's Ink,Trade 1
20203,2020,3,Alchemist's Parchment,4.73,Alchemist's Parchment,Trade 1
20203,2020,3,Aragonite,22.05,Aragonite,Trade 2
20203,2020,3,"1,000 GP Gold Bar",16,"1,000 GP Gold Bar",Trade 2
20203,2020,3,Darkwood Plank,1.53,Darkwood Plank,Trade 1
20203,2020,3,Dwarven Steel,4.5,Dwarven Steel,Trade 1
20203,2020,3,Elven Bismuth,14.23,Elven Bismuth,Trade 2
20203,2020,3,Enchanter's Munition,2.5,Enchanter's Munition,Trade 1
20203,2020,3,Guild Button,3,Adventurers' Guild Button,Bonus
20203,2020,3,Minotaur Hide,1.53,Minotaur Hide,Trade 1
20203,2020,3,Mystic Silk,2.53,Mystic Silk,Trade 1
20203,2020,3,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20203,2020,3,Patron Pin,55,Patron Pin,Premium
20203,2020,3,PCH,1.25,Potion Condensed Healing,Bonus
20203,2020,3,Philosopher's Stone,2.53,Philosopher's Stone,Trade 1
20203,2020,3,Preorder Bonus,0.35,Averon's +3 Cherry Wine,Preorder
20203,2020,3,PYP,95,Ultra Rare,Ultra Rare
20203,2020,3,Wish,205.33,Wish Ring,Premium
20204,2020,4,1k Bonus,45,6th Tooth of Cavadar,Premium
20204,2020,4,2k Bonus,19,Hitchhiking Ghost: Shog,Premium
20204,2020,4,3 Star,0.5,Lenses of the Owl,Bonus
20204,2020,4,Treasure Chip,4.67,Treasure Chip (each),Preorder
20204,2020,4,8k Bonus,525,Orb of Dragonkind (Old),Premium
20204,2020,4,Alchemist's Ink,3.26,Alchemist's Ink,Trade 1
20204,2020,4,Alchemist's Parchment,5,Alchemist's Parchment,Trade 1
20204,2020,4,Aragonite,26,Aragonite,Trade 2
20204,2020,4,"1,000 GP Gold Bar",15,"1,000 GP Gold Bar",Trade 2
20204,2020,4,Darkwood Plank,1.61,Darkwood Plank,Trade 1
20204,2020,4,Dwarven Steel,3.01,Dwarven Steel,Trade 1
20204,2020,4,Elven Bismuth,12,Elven Bismuth,Trade 2
20204,2020,4,Enchanter's Munition,2.11,Enchanter's Munition,Trade 1
20204,2020,4,Guild Button,7,Adventurers' Guild Button,Bonus
20204,2020,4,Minotaur Hide,1.75,Minotaur Hide,Trade 1
20204,2020,4,Mystic Silk,2,Mystic Silk,Trade 1
20204,2020,4,Oil of Enchantment,15,Oil of Enchantment,Trade 2
20204,2020,4,Patron Pin,100,Patron Pin,Premium
20204,2020,4,PCH,1.27,Potion Condensed Healing,Bonus
20204,2020,4,Philosopher's Stone,3,Philosopher's Stone,Trade 1
20204,2020,4,Preorder Bonus,1,Averon's +3 Cherry Wine,Preorder
20204,2020,4,PYP,102,Ultra Rare,Ultra Rare
20204,2020,4,Wish,195,Wish Ring,Premium
20205,2020,5,1k Bonus,45,6th Tooth of Cavadar,Premium
20205,2020,5,2k Bonus,15,Hitchhiking Ghost: Shog,Premium
20205,2020,5,3 Star,0.51,Lenses of the Owl,Bonus
20205,2020,5,Treasure Chip,4.67,Treasure Chip (each),Preorder
20205,2020,5,8k Bonus,480,Orb of Dragonkind (Old),Premium
20205,2020,5,Alchemist's Ink,3,Alchemist's Ink,Trade 1
20205,2020,5,Alchemist's Parchment,4.21,Alchemist's Parchment,Trade 1
20205,2020,5,Aragonite,24.21,Aragonite,Trade 2
20205,2020,5,"1,000 GP Gold Bar",13,"1,000 GP Gold Bar",Trade 2
20205,2020,5,Darkwood Plank,1.61,Darkwood Plank,Trade 1
20205,2020,5,Dwarven Steel,3.21,Dwarven Steel,Trade 1
20205,2020,5,Elven Bismuth,12.25,Elven Bismuth,Trade 2
20205,2020,5,Enchanter's Munition,2,Enchanter's Munition,Trade 1
20205,2020,5,Guild Button,4,Adventurers' Guild Button,Bonus
20205,2020,5,Minotaur Hide,2,Minotaur Hide,Trade 1
20205,2020,5,Mystic Silk,2.21,Mystic Silk,Trade 1
20205,2020,5,Oil of Enchantment,13,Oil of Enchantment,Trade 2
20205,2020,5,Patron Pin,65,Patron Pin,Premium
20205,2020,5,PCH,1.27,Potion Condensed Healing,Bonus
20205,2020,5,Philosopher's Stone,2.21,Philosopher's Stone,Trade 1
20205,2020,5,Preorder Bonus,0.5,Averon's +3 Cherry Wine,Preorder
20205,2020,5,PYP,99,Ultra Rare,Ultra Rare
