key,auctionSeason,Item,Display Name,Category
"20121,000 GP Gold Bar",2012,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20121k Bonus,2012,1k Bonus,Rod of Seven Parts Segment 5,Premium
20123 Star,2012,3 Star,Canteen of Quaffing,Bonus
2012Alchemist's Ink,2012,Alchemist's Ink,Alchemist's Ink,Trade 1
2012Alchemist's Parchment,2012,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2012Aragonite,2012,Aragonite,Aragonite,Trade 2
2012Darkwood Plank,2012,Darkwood Plank,Darkwood Plank,Trade 1
2012Dwarven Steel,2012,Dwarven Steel,Dwarven Steel,Trade 1
2012Elven Bismuth,2012,Elven Bismuth,Elven Bismuth,Trade 2
2012Enchanter's Munition,2012,Enchanter's Munition,Enchanter's Munition,Trade 1
2012Fleece,2012,Fleece,Golden Fleece,Fleece
2012Guild Button,2012,Guild Button,Adventurers' Guild Button,Bonus
2012Minotaur Hide,2012,Minotaur Hide,Minotaur Hide,Trade 1
2012Monster Trophy,2012,Monster Trophy,Monster Trophy,Treasure Chest
2012Mystic Silk,2012,Mystic Silk,Mystic Silk,Trade 1
2012Oil of Enchantment,2012,Oil of Enchantment,Oil of Enchantment,Trade 2
2012Patron Pin,2012,Patron Pin,Patron Pin,Premium
2012PCH,2012,PCH,Potion Condensed Healing,Bonus
2012Philosopher's Stone,2012,Philosopher's Stone,Philosopher's Stone,Trade 1
2012Preorder Bonus,2012,Preorder Bonus,Averon's +3 Cherry Bomb,Preorder
2012PYP,2012,PYP,Ultra Rare,Ultra Rare
2012Rare Bag,2012,Rare Bag,Rare Bag,Condensed
2012Treasure Chip,2012,Treasure Chip,Treasure Chip (each),Preorder
2012Uncommon Bag,2012,Uncommon Bag,Uncommon Bag,Condensed
2012Wish,2012,Wish,Wish Ring,Premium
"20131,000 GP Gold Bar",2013,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20131k Bonus,2013,1k Bonus,Rod of Seven Parts Segment 6,Premium
20133 Star,2013,3 Star,Canteen of Quaffing,Bonus
2013Alchemist's Ink,2013,Alchemist's Ink,Alchemist's Ink,Trade 1
2013Alchemist's Parchment,2013,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2013Aragonite,2013,Aragonite,Aragonite,Trade 2
2013Darkwood Plank,2013,Darkwood Plank,Darkwood Plank,Trade 1
2013Dwarven Steel,2013,Dwarven Steel,Dwarven Steel,Trade 1
2013Elven Bismuth,2013,Elven Bismuth,Elven Bismuth,Trade 2
2013Enchanter's Munition,2013,Enchanter's Munition,Enchanter's Munition,Trade 1
2013Fleece,2013,Fleece,Golden Fleece,Fleece
2013Guild Button,2013,Guild Button,Adventurers' Guild Button,Bonus
2013Minotaur Hide,2013,Minotaur Hide,Minotaur Hide,Trade 1
2013Monster Trophy,2013,Monster Trophy,Monster Trophy,Treasure Chest
2013Mystic Silk,2013,Mystic Silk,Mystic Silk,Trade 1
2013Oil of Enchantment,2013,Oil of Enchantment,Oil of Enchantment,Trade 2
2013Patron Pin,2013,Patron Pin,Patron Pin,Premium
2013PCH,2013,PCH,Potion Condensed Healing,Bonus
2013Philosopher's Stone,2013,Philosopher's Stone,Philosopher's Stone,Trade 1
2013Preorder Bonus,2013,Preorder Bonus,Averon's +3 Cherry Bomb,Preorder
2013PYP,2013,PYP,Ultra Rare,Ultra Rare
2013Rare Bag,2013,Rare Bag,Rare Bag,Condensed
2013Treasure Chip,2013,Treasure Chip,Treasure Chip (each),Preorder
2013Uncommon Bag,2013,Uncommon Bag,Uncommon Bag,Condensed
2013Wish,2013,Wish,Wish Ring,Premium
"20141,000 GP Gold Bar",2014,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20141k Bonus,2014,1k Bonus,Rod of Seven Parts Segment 7,Premium
20143 Star,2014,3 Star,Canteen of Quaffing,Bonus
2014Alchemist's Ink,2014,Alchemist's Ink,Alchemist's Ink,Trade 1
2014Alchemist's Parchment,2014,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2014Aragonite,2014,Aragonite,Aragonite,Trade 2
2014Darkwood Plank,2014,Darkwood Plank,Darkwood Plank,Trade 1
2014Dwarven Steel,2014,Dwarven Steel,Dwarven Steel,Trade 1
2014Elven Bismuth,2014,Elven Bismuth,Elven Bismuth,Trade 2
2014Enchanter's Munition,2014,Enchanter's Munition,Enchanter's Munition,Trade 1
2014Fleece,2014,Fleece,Golden Fleece,Fleece
2014Guild Button,2014,Guild Button,Adventurers' Guild Button,Bonus
2014Minotaur Hide,2014,Minotaur Hide,Minotaur Hide,Trade 1
2014Monster Trophy,2014,Monster Trophy,Monster Trophy,Treasure Chest
2014Mystic Silk,2014,Mystic Silk,Mystic Silk,Trade 1
2014Oil of Enchantment,2014,Oil of Enchantment,Oil of Enchantment,Trade 2
2014Patron Pin,2014,Patron Pin,Patron Pin,Premium
2014PCH,2014,PCH,Potion Condensed Healing,Bonus
2014Philosopher's Stone,2014,Philosopher's Stone,Philosopher's Stone,Trade 1
2014Preorder Bonus,2014,Preorder Bonus,Averon's +3 Cherry Bomb,Preorder
2014PYP,2014,PYP,Ultra Rare,Ultra Rare
2014Rare Bag,2014,Rare Bag,Rare Bag,Condensed
2014Treasure Chip,2014,Treasure Chip,Treasure Chip (each),Preorder
2014Uncommon Bag,2014,Uncommon Bag,Uncommon Bag,Condensed
2014Wish,2014,Wish,Wish Ring,Premium
"20151,000 GP Gold Bar",2015,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20151k Bonus,2015,1k Bonus,1st Tooth of Cavadar,Premium
20153 Star,2015,3 Star,Canteen of Quaffing,Bonus
20158k Bonus,2015,8k Bonus,Orb of Dragonkind (Hatchling),Premium
2015Alchemist's Ink,2015,Alchemist's Ink,Alchemist's Ink,Trade 1
2015Alchemist's Parchment,2015,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2015Aragonite,2015,Aragonite,Aragonite,Trade 2
2015Darkwood Plank,2015,Darkwood Plank,Darkwood Plank,Trade 1
2015Dwarven Steel,2015,Dwarven Steel,Dwarven Steel,Trade 1
2015Elven Bismuth,2015,Elven Bismuth,Elven Bismuth,Trade 2
2015Enchanter's Munition,2015,Enchanter's Munition,Enchanter's Munition,Trade 1
2015Fleece,2015,Fleece,Golden Fleece,Fleece
2015Guild Button,2015,Guild Button,Adventurers' Guild Button,Bonus
2015Minotaur Hide,2015,Minotaur Hide,Minotaur Hide,Trade 1
2015Monster Trophy,2015,Monster Trophy,Monster Trophy,Treasure Chest
2015Mystic Silk,2015,Mystic Silk,Mystic Silk,Trade 1
2015Oil of Enchantment,2015,Oil of Enchantment,Oil of Enchantment,Trade 2
2015Patron Pin,2015,Patron Pin,Patron Pin,Premium
2015PCH,2015,PCH,Potion Condensed Healing,Bonus
2015Philosopher's Stone,2015,Philosopher's Stone,Philosopher's Stone,Trade 1
2015Preorder Bonus,2015,Preorder Bonus,Averon's +3 Cherry Bomb,Preorder
2015PYP,2015,PYP,Ultra Rare,Ultra Rare
2015Rare Bag,2015,Rare Bag,Rare Bag,Condensed
2015Treasure Chip,2015,Treasure Chip,Treasure Chip (each),Preorder
2015Uncommon Bag,2015,Uncommon Bag,Uncommon Bag,Condensed
2015Wish,2015,Wish,Wish Ring,Premium
"20161,000 GP Gold Bar",2016,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20161k Bonus,2016,1k Bonus,2nd Tooth of Cavadar,Premium
20163 Star,2016,3 Star,Canteen of Quaffing,Bonus
20168k Bonus,2016,8k Bonus,Orb of Dragonkind (Wyrmkin),Premium
2016Alchemist's Ink,2016,Alchemist's Ink,Alchemist's Ink,Trade 1
