Key,Year,Level,Transmute,Good,GoodYear,ResolvedYear,GoodDisplayName,Quantity,IsSource
"2012|Khing's Ring of Supreme Evasion|1,000 GP Gold Bar||FALSE",2012,Legendary,Khing's Ring of Supreme Evasion,"1,000 GP Gold Bar",,2012,"1,000 GP Gold Bar",25,FALSE
2012|Khing's Ring of Supreme Evasion|Alchemist's Ink||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Alchemist's Ink,,2012,Alchemist's Ink,4,FALSE
2012|Khing's Ring of Supreme Evasion|Alchemist's Parchment||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Alchemist's Parchment,,2012,Alchemist's Parchment,12,FALSE
2012|Khing's Ring of Supreme Evasion|Aragonite||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Aragonite,,2012,Aragonite,2,FALSE
2012|Khing's Ring of Supreme Evasion|Darkwood Plank||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Darkwood Plank,,2012,Darkwood Plank,16,FALSE
2012|Khing's Ring of Supreme Evasion|Dwarven Steel||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Dwarven Steel,,2012,Dwarven Steel,18,FALSE
2012|Khing's Ring of Supreme Evasion|Elven Bismuth||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Elven Bismuth,,2012,Elven Bismuth,2,FALSE
2012|Khing's Ring of Supreme Evasion|Enchanter's Munition||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Enchanter's Munition,,2012,Enchanter's Munition,6,FALSE
2012|Khing's Ring of Supreme Evasion|Fleece||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Fleece,,2012,Golden Fleece,1,FALSE
2012|Khing's Ring of Supreme Evasion|Minotaur Hide||FALSE,2012,Legendary,Khing's Ring of Supreme Evasion,Minotaur Hide,,2012,Minotaur Hide,10,FALSE
